gene	jh44	jh45	jh46	jh47	jh61	jh62	jh63	jh64
nlpC	542	1002	233	201	352	658	84	95
btuD	310	267	220	146	214	270	110	120
btuE	901	2011	196	131	568	2014	58	75
fis	12663	9897	1199	556	15813	8588	592	365
ycgN	1005	850	172	80	742	678	46	40
hlyE	21	19	31	17	12	19	6	8
dusB	969	1452	2687	1560	2260	1186	1679	1157
minD	11136	13147	1960	867	7719	9585	676	518
minC	1459	1671	762	456	1090	1413	285	312
minE	2340	3095	593	241	1457	2112	217	137
ycgL	2044	3573	332	157	1488	2345	88	99
ycgM	918	2877	389	287	620	2224	128	153
ycgJ	522	564	89	51	325	398	36	17
pliG	685	1387	75	52	368	775	25	24
sfmD	25	25	50	32	39	24	17	20
sfmH	8	15	46	34	8	10	16	6
sfmA	12	22	16	8	14	9	8	6
sfmC	3	4	25	13	4	2	18	19
ybcJ	1339	645	374	139	1125	738	141	89
folD	6685	3778	1065	311	4519	4113	460	236
cysS	8236	4868	1935	705	8449	6438	726	532
ybcI	17	17	17	10	16	15	7	14
acrE	104	96	42	29	118	112	22	60
ppc	7346	14684	2226	1813	6382	17146	803	1151
sfmF	23	42	13	12	8	17	8	11
fimZ	19	13	18	12	17	11	6	7
gtrS	3140	662	1238	128	2494	1131	321	152
atoS	62	87	42	44	79	102	23	24
lgt	6046	3878	1660	469	5997	5067	575	367
gntK	269	275	60	31	587	251	68	17
atoC	210	192	62	40	211	254	16	34
fadL	6773	6289	1452	669	8444	8318	753	635
yfcZ	4937	2794	930	306	3146	3132	543	253
mlaA	4057	9303	1357	1269	3002	6359	466	713
yfdF	61	18	91	38	34	26	28	44
rcsB	7855	21063	1455	1644	6281	16288	562	1031
gtrA	615	569	409	256	579	588	100	178
intS	767	608	232	118	478	435	81	72
ygiV	23	28	27	12	14	19	10	5
rcsC	521	1422	540	655	508	1219	207	485
pflC	15	14	31	14	11	25	18	11
shoB	18	19	198	118	5	14	76	110
frwD	10	11	23	15	12	16	10	2
yfjZ	14	7	3	0	15	15	1	4
mqsA	571	753	116	85	342	483	38	72
rcsD	1678	3200	1465	1561	1453	2768	499	1034
mqsR	100	94	137	90	79	44	36	62
apbE	337	1358	149	254	392	1064	69	172
dinD	168	272	40	28	129	177	23	20
ygiZ	4	1	6	4	0	0	0	0
ompC	360658	263971	56450	20093	341791	397371	25100	19654
mdaB	3861	2556	501	139	2712	2755	160	113
wbbJ	1866	2400	710	397	2006	3424	283	300
wbbK	2361	3491	857	537	2554	3960	370	355
rfc	1070	1081	901	490	1072	1389	426	363
wbbI	4968	7490	1221	721	5563	8979	506	510
gnd	58390	109487	10352	7818	45505	123441	4362	5901
ugd	117	301	131	119	80	174	55	92
insH-7	0	0	0	0	0	0	0	0
yjhP	169	152	72	44	284	187	30	10
ypjJ	2	1	5	0	3	1	0	1
qseC	124	113	84	35	84	108	32	36
rfbX	1270	1622	1045	655	1891	2044	435	485
glf	6722	10190	1252	698	7066	10930	528	459
yfiL	35	63	15	8	15	29	5	4
aroF	1231	984	513	319	1237	928	216	173
pheL	803	2008	397	410	718	1619	194	360
raiA	16249	17177	2357	1086	7528	11388	2503	741
tyrA	1505	1784	687	358	1749	1434	270	201
pheA	3149	5987	719	759	3470	4459	297	407
yfiH	1254	1089	812	309	1234	1181	383	205
bamD	20192	14612	3863	1394	13365	12445	1461	956
rluD	6204	6773	1224	494	6056	6097	523	376
yghQ	44	36	75	37	21	25	16	23
yghR	6	7	13	14	7	6	8	5
yefM	573	1238	112	88	511	922	36	91
yoeB	134	190	67	80	88	144	33	65
glcD	19	53	47	41	19	43	13	16
glcC	119	1175	48	158	168	866	45	110
glcF	26	30	91	55	23	62	32	37
glcE	94	469	116	95	46	523	35	54
yeeE	538	5584	315	1372	727	4452	194	707
yeeD	755	4367	180	596	775	2751	80	273
sbcB	1227	2716	300	340	1043	2651	155	235
dacD	120	102	90	89	63	90	32	55
yeeZ	1598	3763	453	521	1216	4148	197	337
yeeY	25	81	112	116	29	60	53	149
yoeI	581	551	79	56	759	639	40	51
plaP	5052	7702	2060	1639	9220	11627	1228	1307
xseB	1316	1059	408	174	1329	1056	155	134
rph	3047	2332	879	280	2957	2694	320	244
murR	150	258	42	30	124	221	18	17
nsrR	557	594	197	115	416	528	107	82
dcp	3305	2622	707	303	3067	3044	279	225
ydfG	8812	10025	1113	505	6019	9294	417	335
ydfH	876	1068	291	177	684	884	84	111
