	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
elbB	351.916424219824	-0.578875773415855	0.258749353700284	-2.23720664472222	0.0252728372806412	0.0854121786210428
yhcC	34.5853269222332	-0.560403073919719	0.542763151536362	-1.03250022101431	0.301837844168029	0.496382725788359
alaA	524.632750315308	1.11358460105989	0.272309914779546	4.0894015995026	4.32487490648483e-05	0.000504519027884075
yfiB	82.6370627261466	-0.197006366127942	0.380376434270531	-0.517924740805124	0.604510779362118	0.770557636240409
dinB	85.2361669413064	0.01490905224127	0.372908386093176	0.0399804691910168	0.968108697169688	0.983221771997915
yfiR	118.102432557448	0.421772486284277	0.344444954134267	1.224498954686	0.220764060403706	0.401745463338213
yfiN	75.2960654501889	-0.729078262529174	0.389817479757033	-1.87030674710533	0.06144123313977	0.168392052046278
rpsP	4536.81956284114	0.376827493358738	0.249099491818164	1.51275898079235	0.130340891662673	0.283388483353754
ffh	1832.23658494451	-0.927538855206997	0.210477724426258	-4.40682669738747	1.04896047876865e-05	0.000151005672326568
trmD	7963.94818732827	0.454633060866763	0.264029834148349	1.72190033877505	0.0850875736114305	0.213486272989129
rimM	7234.11093963144	0.327745746303131	0.251512346050364	1.30310003246322	0.192540612550345	0.367380085875813
hisI	133.625627591379	0.618221156187743	0.329032875181435	1.87890391149166	0.0602576146701802	0.166028683144924
cld	1958.74252950506	1.03698680379408	0.218587610877016	4.74403283714702	2.09504865137726e-06	3.93752754867181e-05
yqhD	237.245744112147	-0.852763200814428	0.302467986682277	-2.81935027296029	0.00481209751034789	0.023730795739806
yqhC	59.4783262349796	-0.0756470496760938	0.433654196660559	-0.17444094916786	0.861518934843122	0.926714962344763
plsC	277.269925369481	-0.213283103128401	0.268478989914885	-0.794412639871809	0.426955248131609	0.620975754268801
yafO	16.3540193686704	0.842002727075296	0.760183230785613	1.10763128279629	0.268021087490771	NA
ygiQ	544.317165022089	-0.176360558092277	0.264925146772092	-0.665699576809127	0.50560314407116	0.68720588043099
yqhH	3.65343115577612	1.05183895497389	1.5453593410427	0.680643606337011	0.496097027695508	NA
hisL	300.172071590461	1.87866020174192	0.361362090138339	5.19883035052935	2.00546454074763e-07	5.42758923307939e-06
hisG	81.7246286321143	0.574568259477574	0.420427296155669	1.36662929531776	0.171741529962127	0.341163591228348
hisD	107.056515935472	0.342006593774052	0.339177463714602	1.00834114987613	0.313290714570552	0.509221694058522
ydaM	42.8020709869411	0.734271218545672	0.500933787115871	1.4658049375612	0.142701435542258	0.302670192125052
hisB	234.795564611897	1.18267626923385	0.27642506506644	4.27846971456654	1.88182587704576e-05	0.000246752594652939
hisH	115.200793970215	0.713821477453363	0.352996616884775	2.02217654025384	0.0431581169650817	0.129206999728205
hisA	116.706472002877	0.811202583021055	0.342687535023437	2.36717855222127	0.0179242830314043	0.06556713410315
hisF	123.49875186409	1.14164209658186	0.327341847678445	3.48761426221104	0.000487350633116158	0.0038034616476462
